"educ","abd","fthr_ed","hh_size96","mthr_ed","orphan96","hh_fthr_frm","age"
7,1,10,3,10,0,1,22
6,0,4,10,4,0,1,15
5,1,7,5,4,0,1,14
10,1,4,7,4,0,1,18
8,1,15,5,0,0,1,15
5,0,7,6,0,0,1,14
7,1,10,5,7,0,1,15
10,0,4,8,0,0,1,18
4,0,4,5,4,0,1,14
9,1,7,6,7,0,1,18
7,0,0,5,0,0,1,14
10,1,0,18,0,0,1,17
5,0,4,18,4,1,1,14
6,0,7,5,0,0,1,20
6,1,7,7,0,0,1,28
4,0,0,7,7,0,0,14
10,1,0,7,7,0,0,18
6,0,7,5,0,0,1,14
5,0,4,3,0,0,1,15
7,1,0,5,0,0,1,18
5,0,7,5,0,0,1,15
10,1,4,7,4,0,1,19
6,1,4,5,0,0,1,30
4,0,0,7,0,0,1,14
0,0,0,7,0,0,1,25
6,1,0,12,0,0,1,14
5,1,7,12,4,0,1,28
7,0,4,12,0,0,1,17
6,0,12,12,4,0,1,15
3,1,4,4,0,0,1,23
7,0,4,12,4,0,1,16
11,1,7,6,0,0,1,25
4,0,4,7,0,1,1,15
7,1,12,6,0,0,1,30
4,1,7,3,10,0,1,26
9,1,0,6,0,0,1,17
4,1,4,5,0,0,1,20
7,1,4,5,0,0,1,18
6,1,10,8,0,0,1,15
4,0,4,8,4,0,1,18
6,0,7,3,0,0,1,14
7,0,7,7,4,0,1,14
7,0,7,7,4,0,1,16
4,1,7,7,0,0,1,25
13,0,15,7,15,0,1,30
3,1,4,4,0,0,1,20
8,0,0,4,0,0,1,25
2,1,4,6,0,0,1,28
5,0,4,6,0,0,1,14
2,0,0,4,0,0,1,19
7,0,4,3,7,0,1,14
4,1,7,5,0,0,1,15
10,0,10,8,4,0,1,28
7,1,4,5,0,0,1,20
3,1,7,8,0,0,1,21
7,0,0,8,0,0,1,17
4,1,4,6,0,0,1,28
11,1,0,7,0,0,1,19
7,0,4,6,0,0,1,30
7,0,0,6,0,0,1,19
7,1,4,13,0,0,1,27
6,1,4,13,4,0,1,25
8,0,10,13,4,0,1,20
7,0,12,10,0,0,1,28
13,0,7,5,4,0,1,23
7,1,7,4,4,0,1,29
5,1,4,8,4,0,1,15
5,1,4,15,4,0,1,22
13,0,7,15,4,0,1,18
7,1,10,15,4,0,1,30
10,1,4,4,4,0,0,29
8,1,10,10,7,0,1,21
