"","councilnumber","year","logSgwaPercap","treat","first_treat","cohort"
"438",27,2007,6.7348165512085,0,1992,1
"439",27,2008,6.72905158996582,0,1992,1
"440",27,2009,6.75039291381836,0,1992,1
"441",27,2010,6.79195594787598,1,1992,1
"442",27,2011,6.6524715423584,1,1992,1
"443",27,2012,6.45006847381592,1,1992,1
"444",28,1992,3.56896233558655,0,1997,2
"445",28,1993,3.7874002456665,0,1997,2
"446",28,1994,3.85629558563232,0,1997,2
"447",28,1995,3.70128989219666,0,1997,2
"448",28,1996,3.53489661216736,0,1997,2
"449",28,1997,3.49888610839844,1,1997,2
"450",28,1998,3.62258100509644,1,1997,2
"451",28,1999,3.85096955299377,1,1997,2
"452",28,2000,4.44487380981445,1,1997,2
"453",28,2001,5.0484299659729,1,1997,2
"454",28,2002,5.09729480743408,1,1997,2
"455",28,2003,5.46298789978027,0,1997,2
"456",28,2004,5.6253514289856,0,1997,2
"457",28,2005,5.61020135879517,0,1997,2
"458",28,2006,6.8707685470581,0,1997,2
"459",28,2007,6.94680786132812,0,1997,2
"460",28,2008,6.9302339553833,0,1997,2
"461",28,2009,6.94061470031738,0,1997,2
"462",28,2010,6.93005228042603,0,1997,2
"463",28,2011,7.01274394989014,0,1997,2
"464",28,2012,6.97255897521973,0,1997,2
"465",29,1992,0.353168249130249,1,1992,1
"466",29,1993,0.363903939723969,1,1992,1
"467",29,1994,0.353109866380692,1,1992,1
"468",29,1995,0.21130907535553,0,1992,1
"469",29,1996,0.19961304962635,0,1992,1
"470",29,1997,0.148945391178131,0,1992,1
"471",29,1998,0.0501243732869625,0,1992,1
"472",29,1999,0.0331269428133965,0,1992,1
"473",29,2000,0.0227283015847206,0,1992,1
"474",29,2001,0.0169976111501455,0,1992,1
"475",29,2002,0.0168071426451206,0,1992,1
"476",29,2003,0.882768094539642,0,1992,1
"477",29,2004,0.855666160583496,0,1992,1
"478",29,2005,1.62437951564789,0,1992,1
"479",29,2006,1.74027752876282,0,1992,1
"480",29,2007,1.59862697124481,0,1992,1
"481",29,2008,1.42840576171875,0,1992,1
"482",29,2009,1.40601253509521,0,1992,1
"483",29,2010,1.94774389266968,1,1992,1
"484",29,2011,1.46485674381256,1,1992,1
"485",29,2012,2.33193731307983,1,1992,1
"486",30,1992,2.01296877861023,0,1997,2
"487",30,1993,2.4130847454071,0,1997,2
"488",30,1994,2.3892343044281,0,1997,2
"489",30,1995,1.14579081535339,0,1997,2
"490",30,1996,1.10737693309784,0,1997,2
"491",30,1997,1.10737693309784,1,1997,2
"492",31,1998,3.38633608818054,1,1998,2
"493",31,1999,3.66858887672424,1,1998,2
"494",31,2000,4.11575412750244,1,1998,2
"495",31,2001,4.70963430404663,1,1998,2
"496",31,2002,5.20781850814819,1,1998,2
"497",31,2003,5.51468896865845,1,1998,2
"498",31,2004,5.60955047607422,1,1998,2
"499",31,2005,5.63075971603394,1,1998,2
"500",31,2006,6.86237335205078,1,1998,2
"501",31,2007,6.93696069717407,0,1998,2
"502",31,2008,6.89169216156006,0,1998,2
"503",31,2009,6.92763471603394,0,1998,2
"504",31,2010,6.94837617874146,0,1998,2
"505",31,2011,6.97171974182129,0,1998,2
"506",31,2012,6.95615100860596,0,1998,2
"510",32,1995,1.15391230583191,0,1997,2
"511",32,1996,1.17765545845032,0,1997,2
"512",32,1997,1.33211851119995,1,1997,2
"513",33,1998,3.45481586456299,1,1998,2
"514",33,1999,3.30152797698975,1,1998,2
"515",33,2000,4.07939386367798,1,1998,2
"516",33,2001,4.53739070892334,1,1998,2
"517",33,2002,4.98222780227661,1,1998,2
"518",33,2003,5.29937076568604,1,1998,2
"519",33,2004,5.25426769256592,1,1998,2
"520",33,2005,5.41983652114868,1,1998,2
"521",33,2006,6.61771106719971,1,1998,2
"522",33,2007,6.69946718215942,0,1998,2
"523",33,2008,6.65667057037354,0,1998,2
"524",33,2009,6.65256881713867,0,1998,2
"525",33,2010,6.69328594207764,1,1998,2
"526",33,2011,6.77178812026978,0,1998,2
"527",33,2012,6.78778076171875,0,1998,2
"528",34,1992,1.25988042354584,0,1997,2
"529",34,1993,1.13320374488831,0,1997,2
"530",34,1994,1.10480427742004,0,1997,2
"531",34,1995,1.10557520389557,0,1997,2
"532",34,1996,1.04422330856323,0,1997,2
"533",34,1997,1.04357600212097,1,1997,2
"534",34,1998,1.20522201061249,1,1997,2
"535",34,1999,1.04108846187592,1,1997,2
"536",34,2000,1.05599880218506,1,1997,2
"537",34,2001,1.07930827140808,1,1997,2
"538",34,2002,1.11459302902222,1,1997,2
"539",34,2003,1.95099294185638,1,1997,2
"540",34,2004,2.61523389816284,1,1997,2
"541",34,2005,2.57164454460144,1,1997,2
"542",34,2006,2.61035919189453,1,1997,2
"543",34,2007,2.88093185424805,1,1997,2
"544",34,2008,2.79335808753967,1,1997,2
"545",35,1992,0.896599471569061,0,1997,2
"546",35,1993,0.903587639331818,0,1997,2
"547",35,1994,0.927402019500732,0,1997,2
"548",35,1995,0.938513934612274,0,1997,2
"549",35,1996,0.966744542121887,0,1997,2
"550",35,1997,1.05826091766357,1,1997,2
"551",35,1998,1.08106374740601,1,1997,2
"552",35,1999,1.11541938781738,1,1997,2
"553",35,2000,1.06238341331482,1,1997,2
"554",35,2001,2.58322978019714,1,1997,2
"555",35,2002,1.18842470645905,1,1997,2
"556",35,2003,3.05840015411377,1,1997,2
"557",35,2004,3.11519980430603,1,1997,2
"558",35,2005,2.8490560054779,1,1997,2
"559",35,2006,2.78596568107605,1,1997,2
"560",35,2007,2.79306721687317,1,1997,2
"561",35,2008,3.0072774887085,1,1997,2
"562",35,2009,2.75628399848938,1,1997,2
"563",35,2010,2.8370852470398,0,1997,2
"564",35,2011,2.70174098014832,0,1997,2
"565",35,2012,2.75176334381104,0,1997,2
"566",36,1992,3.3750159740448,0,1997,2
"567",36,1993,3.62639284133911,0,1997,2
