"outcome","treatment","began_convo","age","gender","partyideology","pre_therm_voter_outparty_rescaled"
-1.12693616387015,0,TRUE,49,"Male",2,-0.767973886075008
1.38125580100619,1,TRUE,33,"Female",4,-0.279654838927471
-0.490529247408986,0,TRUE,45,"Male",3,-0.279654838927471
1.79304851165753,0,TRUE,62,"Female",4,2.04925138593001
0.295620472925387,1,TRUE,53,"Female",4,-0.317217842554205
0.258184771957084,0,TRUE,44,"Female",3,0.471605233607202
-0.116172237725951,1,TRUE,21,"Female",1,-0.279654838927471
0.333056173893691,0,TRUE,43,"Female",3,0.584294244487403
0.894591688418243,1,TRUE,26,"Female",2,0.434042229980468
-0.565400649345593,0,TRUE,18,"Male",2,-0.354780846180938
0.258184771957084,0,TRUE,63,"Male",4,0.396479226353735
0.445363276798601,0,TRUE,26,"Male",4,0.283790215473534
-0.565400649345593,0,TRUE,48,"Male",2,-0.730410882448275
0.333056173893691,1,TRUE,21,"Male",2,0.0208491900863981
-0.677707752250503,0,TRUE,27,"Male",2,-0.467469857061139
0.0710062671155664,0,TRUE,72,"Female",4,0.283790215473534
0.445363276798601,1,TRUE,36,"Male",4,0.471605233607202
-1.05206476193354,1,TRUE,31,"Female",2,-1.03091491146214
0.894591688418243,1,TRUE,39,"Male",4,0.884798273501272
0.520234678735208,1,TRUE,24,"Female",2,-0.354780846180938
0.295620472925387,1,TRUE,34,"Female",5,-1.10604091871561
0.295620472925387,1,TRUE,37,"Female",3,0.509168237233935
1.19407729616467,1,TRUE,40,"Male",3,0.471605233607202
1.19407729616467,1,TRUE,38,"Male",3,1.22286530614187
-1.61360027645809,1,TRUE,36,"Male",2,-1.40654494772948
1.19407729616467,1,TRUE,36,"Male",2,1.33555431702208
-0.6402720512822,1,TRUE,53,"Female",4,-0.692847878821541
-1.61360027645809,0,TRUE,40,"Female",1,-1.40654494772948
0.258184771957084,0,TRUE,26,"Male",3,0.471605233607202
0.782284585513333,1,TRUE,22,"Male",4,0.509168237233935
0.295620472925387,0,TRUE,45,"Male",2,-0.730410882448275
0.707413183576726,0,TRUE,19,"Female",3,0.546731240860669
0.033570566147263,0,TRUE,28,"Female",1,0.2462272118468
1.41869150197449,0,TRUE,74,"Male",2,1.59849534240921
-0.565400649345593,1,TRUE,58,"Male",5,-0.955788904208677
-1.61360027645809,0,TRUE,23,"Female",1,-1.40654494772948
0.033570566147263,1,TRUE,30,"Male",1,-0.467469857061139
1.00689879132315,1,TRUE,47,"Female",2,-0.279654838927471
-1.01462906096523,0,TRUE,29,"Female",1,-1.29385593684928
-0.864886257092021,0,TRUE,20,"Male",1,-0.655284875194807
1.56843430584771,1,TRUE,31,"Female",2,-0.767973886075008
-1.08950046290184,1,TRUE,45,"Female",2,-0.918225900581943
0.520234678735208,0,TRUE,19,"Male",4,-0.129402824420536
-1.23924326677506,1,TRUE,28,"Female",1,-1.40654494772948
0.258184771957084,0,TRUE,28,"Male",4,0.471605233607202
-0.116172237725951,1,TRUE,49,"Female",1,0.471605233607202
-0.303350742567468,0,TRUE,32,"Female",2,-0.279654838927471
-1.23924326677506,1,TRUE,59,"Female",2,-1.10604091871561
0.445363276798601,1,TRUE,38,"Female",2,0.546731240860669
0.632541781640119,0,TRUE,29,"Male",3,0.471605233607202
0.445363276798601,1,TRUE,20,"Male",1,-0.99335190783541
0.258184771957084,0,TRUE,35,"Male",1,-0.805536889701742
-0.902321958060324,1,TRUE,50,"Male",4,-0.692847878821541
0.632541781640119,1,TRUE,50,"Male",5,-0.317217842554205
1.11920589422806,1,TRUE,52,"Female",2,-0.0167138135403355
0.295620472925387,1,TRUE,21,"Male",3,0.471605233607202
-0.864886257092021,0,TRUE,21,"Prefer to self describe",2,-0.655284875194807
-0.116172237725951,0,TRUE,29,"Male",4,-0.279654838927471
-1.05206476193354,0,TRUE,63,"Female",2,-0.955788904208677
-1.23924326677506,0,TRUE,45,"Male",4,-1.40654494772948
-0.939757659028628,1,TRUE,32,"Female",1,-1.40654494772948
0.258184771957084,0,TRUE,26,"Male",3,0.471605233607202
-0.191043639662558,0,TRUE,27,"Female",3,0.171101204593333
-0.490529247408986,1,TRUE,33,"Female",1,-0.955788904208677
1.83048421262583,0,TRUE,61,"Female",4,1.63605834603594
0.632541781640119,1,TRUE,30,"Male",4,1.03505028800821
1.4561272029428,1,TRUE,32,"Male",1,-1.40654494772948
-0.191043639662558,0,TRUE,27,"Female",2,-0.317217842554205
-0.6402720512822,0,TRUE,64,"Male",2,1.03505028800821
-0.116172237725951,1,TRUE,22,"Male",2,-0.655284875194807
1.75561281068922,1,TRUE,28,"Female",4,1.97412537867655
0.520234678735208,0,TRUE,47,"Male",4,0.321353219100267
-0.827450556123717,0,TRUE,23,"Female",2,-0.918225900581943
0.707413183576726,1,TRUE,26,"Female",2,-0.99335190783541
0.258184771957084,0,TRUE,36,"Male",3,0.509168237233935
1.75561281068922,1,TRUE,51,"Female",3,0.471605233607202
-0.939757659028628,1,TRUE,40,"Female",2,-1.29385593684928
0.258184771957084,1,TRUE,58,"Female",4,0.471605233607202
-0.677707752250503,0,TRUE,73,"Female",5,-1.40654494772948
1.41869150197449,0,TRUE,65,"Female",4,1.26042830976861
-0.677707752250503,1,TRUE,54,"Male",5,-0.279654838927471
-0.116172237725951,1,TRUE,44,"Male",3,0.208664208220066
1.83048421262583,1,TRUE,44,"Male",5,1.52336933515574
0.819720286481636,1,TRUE,32,"Female",4,0.0959751973398654
1.19407729616467,0,TRUE,37,"Male",2,1.41068032427554
-0.303350742567468,0,TRUE,35,"Male",3,-0.0918398207938028
-1.61360027645809,0,TRUE,19,"Female",1,-1.40654494772948
2.12996982037226,0,TRUE,38,"Female",3,0.471605233607202
