"","Year","MunCode","Party","SIGLA_PARTIDO","NOME_CANDIDATO","Voteshare","Winner","Woman","Margin","Voters","Female.Voters","Male.Voters","Recruit.Share","Gender.Gap","Attrition.Rate","Attrition.Rate.Female","Attrition.Rate.Male","Switch.Rate.Female","Switch.Rate.Male","Renominated","Advanced","Cumulative.Female.Recruits.Share","Recruit.Share.Lagged","Gender.Gap.Lagged","Attrition.Rate.Lagged","University","Incumbent","Married","Age","Dynastic","Insider","Time.In.Party","Time.In.Politics","Prior.Office","First.Female.Mayor","Prior.Female.Mayors","Challenger_Incumbent","Challenger_Time.In.Politics","Illiteracy_2000","UrbanizationRate_2000","HDI_2000","HDI_2010","Population_2000","Female.Participation.Rate","Voter.Gender.Ratio","PT.Deputies.Voteshare","Gender.Gap.Year1","Gender.Gap.Year2","Gender.Gap.Year3","Gender.Gap.Year4","Woman.CouncilCandidatesShare.AllParties","Woman.Councilors.Share.AllParties","Female.Donations.Ratio"
"2295",2004,"65390","PP","PP","CATIA ROSANA BORSIO CARDOSO",0.444246561788859,TRUE,TRUE,0.12051053725141,12154,5889,6255,1.89238110909988,1.03961660014831,0.478260869565217,0.25,0.6,0.25,0.6,TRUE,FALSE,9.50925454236713,1.8256107102495,1.39397468271426,0.238095238095238,TRUE,FALSE,TRUE,44,FALSE,TRUE,8,8,"None",TRUE,0,FALSE,1,10.517,0.763738580463809,0.75534994,0.8328930739,14230,0.591647331786543,0.941486810551559,0.113520408163265,0,0,1.03961660014831,0,0.262295081967213,0.444444444444444,0.760038920912024
"2296",2012,"65390","DEM","DEM","LUCIANA SANCHES SERAIN",0.45529962912356,FALSE,TRUE,-0.0894007417528792,12522,6212,6302,0.239578342117873,-0.163277717414294,0,0,0,0,0,FALSE,NA,29.6200901481005,0.972053462940462,1.58585465607369,0.416666666666667,TRUE,FALSE,TRUE,39,FALSE,TRUE,5,5,"None",FALSE,1,FALSE,1,10.517,0.763738580463809,0.75534994,0.8328930739,14230,0.591647331786543,0.985718819422406,0.065981548522714,0,0,-0.163277717414294,0,0.347826086956522,0.222222222222222,0.685833548296321
"2297",2004,"65412","PSDB","PSDB","FATIMA TERESINHA CAMARGO GUIMARAES",0.593694493783304,TRUE,TRUE,0.187388987566607,2530,1160,1366,2.37154150197628,1.20411975564194,0.333333333333333,0,0.5,0,0.25,TRUE,FALSE,56.0344827586207,13.2517838939857,6.5422322775264,0.0769230769230769,TRUE,FALSE,TRUE,50,FALSE,TRUE,2,2,"None",TRUE,0,FALSE,1,7.803,0.623199393479909,0.740963563,0.7171128777,2638,0.530201342281879,0.849194729136164,0.0424354243542435,0,0,1.20411975564194,0,0,0,NA
"2298",2004,"65439","CIDADANIA","PPS","JOSIANE MARIA CAETANO ARRIVABENE",0.25444907232109,FALSE,TRUE,-0.268761832639152,54940,28161,26635,0.673461958500182,0.439438686534966,0.351351351351351,0.384615384615385,0.333333333333333,0.384615384615385,0.25,TRUE,FALSE,25.7448244025425,3.38787892207878,1.29065688175438,0.287581699346405,TRUE,FALSE,TRUE,43,FALSE,NA,NA,1,"None",TRUE,0,FALSE,1,8.194,0.988235294117647,0.606373074,0.7729297475,71995,0.53391167192429,1.05729303547963,0.192067163539793,0.00203448156953347,-0.0355101026241966,0.662671710127813,0,0.290909090909091,0.1,0.565012735691648
"2299",2016,"65471","MDB","PMDB","SIMONE APARECIDA CURRALADAS DOS SANTOS",0.548235485886604,TRUE,TRUE,0.221182319541417,107012,55611,51379,0.35510036257616,0.252813419450037,0,0,0,0,0,NA,NA,37.5465285644926,0.412164748137899,0.344028842306764,0.0952380952380952,TRUE,FALSE,TRUE,41,FALSE,NA,NA,1,"None",TRUE,0,FALSE,21,6.886,0.893102047642941,0.711136996,0.8290791872,125559,0.540776475993568,1.08236828276144,0.0356959424756035,0,-0.016500903009091,0.00296230180221321,0.266352020656914,0.344339622641509,0.210526315789474,0.592282055586719
"2300",2004,"65498","DEM","PFL","TEREZINHA DE JESUS MORAIS VASCONCELOS SILVA",0.456486474637205,FALSE,TRUE,-0.0524354421500285,57191,28612,28420,2.43045234390026,1.3139420840141,0.18705035971223,0.215686274509804,0.170454545454545,0.215686274509804,0.170454545454545,TRUE,TRUE,22.6827904375786,2.99847057876519,1.9098566508986,0.315436241610738,TRUE,FALSE,TRUE,51,FALSE,NA,NA,10,"None",TRUE,0,FALSE,1,9.522,0.735573093910651,0.605962707,0.8311284805,82866,0.492497114274721,1.00675580577058,0.27799870756077,0,-0.034950370473927,1.70170181003074,0,0.252032520325203,0.1,0.582958079027794
"2301",2008,"65498","DEM","DEM","TEREZINHA DE JESUS MORAIS VASCONCELOS SILVA",0.138255230740173,FALSE,TRUE,-0.606954733373906,62008,31371,30500,0.27415817313895,0.040069375966422,0.176470588235294,0.25,0.111111111111111,0.25,0.111111111111111,FALSE,TRUE,31.5259315928724,2.43045234390026,1.3139420840141,0.18705035971223,TRUE,FALSE,TRUE,55,FALSE,TRUE,14,14,"None",TRUE,0,TRUE,5,9.522,0.735573093910651,0.605962707,0.8311284805,82866,0.492497114274721,1.02855737704918,0.113006254713215,-0.127506295623346,0,0.234059753421637,0.0327868852459016,0.327014218009479,0.133333333333333,0.636988147346766
"2302",2016,"65498","PP","PP","AUREA APARECIDA ROSA",0.229727608132506,FALSE,TRUE,-0.437730591098202,69478,35622,33776,0.6332939923429,0.0914335641877484,0,0,0,0,0,NA,NA,44.1581045421369,0.751631039355401,0.334390776444466,0.14,FALSE,FALSE,FALSE,55,TRUE,FALSE,0,5,"VEREADOR",TRUE,0,FALSE,13,9.522,0.735573093910651,0.605962707,0.8311284805,82866,0.492497114274721,1.05465419232591,0.0728541848997801,0.0903547462046951,-0.0250039755024473,-0.0704090805981358,0.0964918740836364,0.36150234741784,0.266666666666667,1.44019069693729
"2303",2008,"65510","PT","PT","MARIA RUTH BANHOLZER",0.784738438707143,TRUE,TRUE,0.580432552759652,120695,63287,57253,3.2975682505489,0.0985231814035932,0.133165829145729,0.0776699029126214,0.192708333333333,0.058252427184466,0.109375,FALSE,FALSE,29.1055034999289,4.68162131938324,1.1475294796385,0.149797570850202,TRUE,TRUE,FALSE,58,FALSE,FALSE,1,5,"PREFEITO",FALSE,1,FALSE,5,8.782,1,0.676807953,0.8480447235,162433,0.527837435982158,1.10539185719526,0.235276582044525,0.131442805920578,0.272025444211453,0.315284612766872,-0.491304144984688,0.322352941176471,0.176470588235294,0.517323693913873
"2304",2016,"65510","PTB","PTB","MARIA RUTH BANHOLZER",0.32176215695715,FALSE,TRUE,-0.342099181511796,145972,76785,69078,0.445290877702573,0.00597324259932014,0,0,0,0,0,NA,NA,37.1947646024614,0.6490901797761,-0.2433228529699,0.101123595505618,TRUE,FALSE,FALSE,66,FALSE,FALSE,1,13,"PREFEITO",FALSE,1,FALSE,13,8.782,1,0.676807953,0.8480447235,162433,0.527837435982158,1.11156953009641,0.195508148267299,0,0,0.0290065094883186,-0.0230332668889984,0.324921135646688,0.176470588235294,0.889722818108816
